cod_ibge7,cod_ibge6,cod_siafi,uf,nome_municipio,ano_mes,n_cat,n_obito,n_cid_mental,n_cid_lesao,n_cid_musculo,bf_beneficiarios,bf_entradas,bf_valor_total
2504850,250485,0472,PB,COXIXOLA                                     ,202510,0,0,0,0,0,375,1,244869.0
2206209,220620,1123,PI,MIGUEL ALVES                                 ,202510,0,0,0,0,0,7670,11,5400510.0
2206670,220667,0352,PI,MORRO DO CHAPEU DO PIAUI                     ,202510,0,0,0,0,0,1282,2,869728.0
4311718,431171,0994,RS,MACAMBARA                                    ,202510,0,0,0,0,0,527,1,357648.0
4312138,431213,5931,RS,MATO CASTELHANO                              ,202510,0,0,0,0,0,128,2,87048.0
1707702,170770,9355,TO,FILADELFIA                                   ,202510,0,0,0,0,0,1099,3,778915.0
1717503,171750,9547,TO,PIUM                                         ,202510,0,0,0,0,0,529,12,385654.0
2709400,270940,2887,AL,VICOSA                                       ,202510,0,0,0,0,0,4387,7,3028074.0
1300300,130030,0207,AM,AUTAZES                                      ,202510,0,0,0,0,0,14840,140,10227532.0
2903607,290360,3371,BA,BIRITINGA                                    ,202510,0,0,0,0,0,3725,24,2450125.0
2904407,290440,3387,BA,BREJOLANDIA                                  ,202510,0,0,0,0,0,1406,3,952399.0
2919009,291900,3681,BA,LAJEDINHO                                    ,202510,0,0,0,0,0,830,2,540463.0
2932200,293220,3943,BA,UBAITABA                                     ,202510,0,0,0,0,0,3225,7,2161047.0
2933174,293317,3049,BA,VARZEDO                                      ,202510,0,0,0,0,0,1905,3,1254909.0
2310308,231030,1507,CE,PARAMBU                                      ,202510,0,0,0,0,0,4378,3,2978968.0
5217401,521740,9545,GO,PIRES DO RIO                                 ,202510,0,0,0,0,0,1723,5,1124303.0
2602209,260220,2343,PE,BOM JARDIM                                   ,202510,0,0,0,0,0,8839,13,5805268.0
2414803,241480,1895,RN,VERA CRUZ                                    ,202510,0,0,0,0,0,1995,5,1369150.0
1100072,110007,0981,RO,CORUMBIARA                                   ,202510,0,0,0,0,0,246,1,168032.0
2803807,280380,3175,SE,MALHADA DOS BOIS                             ,202510,0,0,0,0,0,704,2,467270.0
2103802,210380,0773,MA,DOM PEDRO                                    ,202510,0,0,0,0,0,4330,4,2984830.0
3106606,310660,4131,MG,BERTOPOLIS                                   ,202510,0,0,0,0,0,914,7,622332.0
3157658,315765,0706,MG,SANTA HELENA DE MINAS                        ,202510,0,0,0,0,0,1424,12,960586.0
2502003,250200,1941,PB,BELEM DO BREJO DO CRUZ                       ,202510,0,0,0,0,0,1712,3,1128356.0
2605608,260560,2411,PE,FLORES                                       ,202510,0,0,0,0,0,3801,8,2527894.0
2616506,261650,2293,PE,XEXEU                                        ,202510,0,0,0,0,0,3431,4,2328132.0
2201309,220130,1025,PI,BARREIRAS DO PIAUI                           ,202510,0,0,0,0,0,707,3,493106.0
4304358,430435,6083,RS,CANDIOTA                                     ,202510,0,0,0,0,0,833,1,549551.0
3501509,350150,6129,SP,ALVINLANDIA                                  ,202510,0,0,0,0,0,195,1,126791.0
1702307,170230,9245,TO,ARAPOEMA                                     ,202510,0,0,0,0,0,643,1,453933.0
2911006,291100,3519,BA,FLORESTA AZUL                                ,202510,0,0,0,0,0,1809,7,1168722.0
