cod_ibge7,nome_municipio,uf,meses_dado,total_cat,total_obito,total_cid_mental,corr_n_cat_lag0,corr_n_cat_lag1,corr_n_cat_lag2,corr_n_cat_lag3,corr_n_cat_lag6,corr_n_obito_lag0,corr_n_obito_lag1,corr_n_obito_lag2,corr_n_obito_lag3,corr_n_obito_lag6,corr_n_cid_mental_lag0,corr_n_cid_mental_lag1,corr_n_cid_mental_lag2,corr_n_cid_mental_lag3,corr_n_cid_mental_lag6
4204608,CRICIUMA,SC,24,2441,8,10,-0.17903312419224682,-0.322744188971596,-0.050451739813869884,-0.04459932436103304,0.1396831962360064,-0.14249044841579658,-0.40318487601868813,0.16456143875543855,-0.16754156331667822,0.4866102913454888,-0.22759781695685244,-0.14156504132637018,-0.23185580248855248,0.27266100440586505,0.23419796570082915
4204707,CUNHA PORA,SC,24,95,0,0,-0.061376200542444054,-0.07133142780881177,-0.18062922163595865,-0.11056630274733499,0.2623171433359689,,,,,,,,,,
4204806,CURITIBANOS,SC,24,238,2,3,-0.04401579001589208,-0.12536547576841242,-0.0492898473124494,0.014741821100508031,0.31160244843445023,0.3768673314407159,0.26454227075346565,0.22877433878172254,-0.15397947077242097,0.4172137249498924,-0.20740340660867612,-0.21858713800462334,-0.21073144955062867,-0.2231374522142017,-0.12837345383073615
4205001,DIONISIO CERQUEIRA,SC,24,44,0,0,-0.35296281779523475,-0.36278364318837697,-0.06541733767757722,0.3269577319682471,0.5099340669767056,,,,,,,,,,
4205159,DOUTOR PEDRINHO,SC,24,23,0,0,0.01569133806071103,-0.34045352588225325,-0.08363593251757263,-0.3236729223356599,-0.10458831623207712,,,,,,,,,,
4205308,FAXINAL DOS GUEDES,SC,24,170,1,0,-0.1363048991535261,-0.2192483201144089,0.20582526882531088,-0.0756290612487605,0.6260093940204807,-0.13134109817458522,0.21709709242867256,-0.13152996260015795,0.41683176844732633,-0.12849851324064712,,,,,
4205357,FLOR DO SERTAO,SC,24,39,2,0,-0.12979932418450466,-0.05424796560588826,0.029621407052316723,-0.09518157075640117,-0.13714787353158786,0.4153311931459038,0.2283154122572278,-0.16083263654572127,-0.1704867852492875,,,,,,
4205407,FLORIANOPOLIS,SC,24,4775,5,46,-0.24503679321966335,-0.3035251252439506,0.20905873273089579,0.3177882603203498,0.5607266051840135,0.5192074952546832,-0.1763138125568306,-0.15701828886553715,0.6205085643421646,-0.15706636192614137,-0.265534514355808,-0.30888880476871666,0.03800333929350072,0.08213083311351614,0.23349196718209453
4205456,FORQUILHINHA,SC,24,336,2,0,-0.2540363243446839,-0.22823412200561904,-0.37378134211940794,-0.19707487155415998,-0.11664329057173306,-0.1312525635516668,-0.1380498647283479,-0.14558367013382342,-0.15397947077242097,,,,,,
4205506,FRAIBURGO,SC,24,189,1,0,-0.08457848280538502,-0.02499732948778814,-0.003851199031213444,0.10839454981688496,-0.1429665290837165,-0.11879247414119364,-0.12481171852545074,0.44497807239961795,,,,,,,
